Date,Close/Last,Volume,Open,High,Low
09/14/2018,267.36,1860993,267.47,267.6246,266.47
09/13/2018,267.22,2087850,266.78,267.418,266.47
09/12/2018,265.71,3019320,265.61,266.26,264.83
09/11/2018,265.68,3419128,264.03,266.0499,263.68
09/10/2018,264.68,2832599,265.28,265.57,264.51
09/07/2018,264.18,2634293,263.63,265.26,263.45
09/06/2018,264.82,1686991,265.69,265.99,263.7
09/05/2018,265.6,4594806,265.91,266.13,264.52
09/04/2018,266.35,3623280,266.35,266.66,265.26
08/31/2018,266.72,3172334,266.33,267.2163,265.83
08/30/2018,266.71,2625380,267.31,267.71,266.12
08/29/2018,267.8,2115971,266.59,268.05,266.34
08/28/2018,266.34,3027095,266.76,266.83,265.89
08/27/2018,266.19,2370864,265.38,266.35,265.26
08/24/2018,264.2,2329244,263.16,264.29,263.11
08/23/2018,262.55,2307738,262.68,263.63,262.21
08/22/2018,262.93,1708048,262.64,263.45,262.39
08/21/2018,263.01,1928441,263.01,263.9732,262.86
08/20/2018,262.44,1245408,262.4,262.74,261.9
08/17/2018,261.86,2278711,260.71,262.38,260.35
08/16/2018,260.99,1692554,260.36,261.889,260.35
08/15/2018,258.89,2587660,259.43,259.55,257.39
08/14/2018,260.81,1530894,259.94,261.07,259.55
08/13/2018,259.14,3685133,260.41,261.07,258.9
08/10/2018,260.12,2394765,260.36,260.964,259.43
08/09/2018,261.9,1084117,262.33,262.74,261.76
08/08/2018,262.23,1560763,262.23,262.67,261.79
08/07/2018,262.37,2619136,262.2,262.78,262.08
08/06/2018,261.64,1842538,260.56,261.83,260.2
08/03/2018,260.66,2017544,259.6,260.66,259.39
08/02/2018,259.39,1767069,256.73,259.6,256.48
08/01/2018,258.08,1651718,258.64,259.1932,257.351
07/31/2018,258.4,1991981,258.02,259.09,257.6
07/30/2018,257.1,1601373,258.6,258.78,256.64
07/27/2018,258.59,2666731,260.73,260.74,257.58
07/26/2018,260.28,2166022,260.14,261.005,260.1
